album,artist,sentiment
Word Gets Around,Stereophonics,0.5541634714312836
The Burning Red,Machine Head,0.29966548210465227
The Black Light,Calexico,0.9999999999999991
Nevermind,Nirvana,0.4437936522834098
Different World,Uriah Heep,0.4741476553821342
Return to Paradise,Styx,0.5800191000468393
Adios,KMFDM,0.33564324974816306
Laughing Stock,Talk Talk,0.49777492585976607
For My Broken Heart,Reba McEntire,0.4231306735440049
Hidden Treasures,Megadeth,0.3759821124704036
Homebrew,Neneh Cherry,0.5793562884481214
Lost Paradise,Paradise Lost,0.3717074097289491
Repeater,Fugazi,0.43186934600255095
Slush,OP8,0.47597134527388313
All Hallow's EP,AFI,0.4955564419625045
Willis,The Pietasters,0.5457398819983574
Hot Boxing,Magnapop,0.4512641598828445
Bloodline,Recoil,0.38114263668286186
Hell's Ditch,The Pogues,0.531783045387606
Get Some,Snot,0.4115898370135756
The Book of Secrets,Loreena McKennitt,0.5316590183001609
Extricate,The Fall,0.5211658497758781
Oolooloo,The Pietasters,0.43454079871695955
...And Out Come the Wolves,Rancid,0.46661846828879094
Demanufacture,Fear Factory,0.39232469527312425
The Three Pyramids Club,Suggs,0.479930446247512
Rubbing Doesn't Help,Magnapop,0.4459486770376277
Utd. State 90,808 State,1.0
Refugees of the Heart,Steve Winwood,0.3248916279450649
In the Aeroplane Over the Sea,Neutral Milk Hotel,0.601888253745543
Off the Ground,Paul McCartney,0.5636486423147078
Lovelyville,Thinking Fellers Union Local 282,0.4452445433487988
Redneck Wonderland,Midnight Oil,0.5300605459185821
Beaster,Sugar,0.4635137892969448
Enta da Stage,Black Moon,0.27571518550056495
Postcards from Heaven,Lighthouse Family,0.6439819252362035
Shut 'Em Down,Onyx,0.36505684018914236
Whirlpool,Chapterhouse,0.5412084259312018
Mind Blowin,Vanilla Ice,0.44901224927011896
Nada Es Igual,Luis Miguel,0.26196852893530764
Generation Terrorists,Manic Street Preachers,0.4531952244944099
Dig Your Own Hole,The Chemical Brothers,0.3905860742944658
Slightly Odway,Jebediah,0.5436138418339976
