album,artist,album_uri,artist_uri
Graffiti Bridge,Prince,spotify:album:2tHDc9g2bu1rz62xIjX1GE,spotify:artist:5a2EaR3hamoenG9rDuVn8j
Persistence of Time,Anthrax,spotify:album:6LJLdLewRovTDsA351Nvpn,spotify:artist:3JysSUOyfVs1UQ0UaESheP
Ritual de lo Habitual,Jane's Addiction,spotify:album:6XQRLJZqxADFmJYbDUOpGN,spotify:artist:02NfyD6AlLA12crYzw5YcR
Otis,Mojo Nixon,spotify:album:1tRk6vl8gygERWtA3Y8DFR,spotify:artist:3FT2gnR0oxBirr2rD3OmwQ
Time's Up,Living Colour,spotify:album:2rNAZnGy5aH1enh3NRn6IA,spotify:artist:6Uhp7WA6sjm5ZL6Xz561de
"The Earth, a Small Man, His Dog and a Chicken",REO Speedwagon,spotify:album:6EdOrosZMD99AGAFC2NxcC,spotify:artist:55vs7NT1KxcFjbMC4y202E
Caustic Grip,Front Line Assembly,spotify:album:77cFG8Sj5EDuAupmGZhe6k,spotify:artist:5QYAExYvxixCVwX70SRf7F
Painkiller,Judas Priest,spotify:album:7LgrhuKnAXpNEv8qzcVd2t,spotify:artist:2tRsMl4eGxwoNabM08Dm4I
To The Extreme,Vanilla Ice,spotify:album:1LHacvoBTd7o2d7wwQ9EZD,spotify:artist:7GXXMm3DB1VswVcuGyInUd
And the Horse They Rode in On,Soul Asylum,spotify:album:6NEI41JNiWUVuOdZS8Vbrb,spotify:artist:02da1vDJ2hWqfK7aJL6SJm
Empire,Queensrÿche,spotify:album:2uwgWsmiKSUo5A6xV1GFth,spotify:artist:2OgUPVlWYgGBGMefZgGvCO
In Case You Didn't Feel Like Showing Up,Ministry,spotify:album:7HapY6MjG5Wet5Dp65V4YZ,spotify:artist:1DXylZlWbVvlckNqwvjTEt
The Neighborhood,Los Lobos,spotify:album:6WpMCnLwGLfRdNDIDROUGb,spotify:artist:6OWapcJm9xd55ci9CYbAuT
Rumor Has It,Reba McEntire,spotify:album:164LWFbi9ynXhbbYPOseKo,spotify:artist:02rd0anEWfMtF7iMku9uor
The Wild Places,Dan Fogelberg,spotify:album:0ivbe8Z9hLOViKscYEw2hi,spotify:artist:0cA5Tg15TwARIRZeiNT1RO
Two Fires,Jimmy Barnes,spotify:album:0CFve8pYcvhHeFNTLzQl9l,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ
Boomania,Betty Boo,spotify:album:6945nocZM0gGU8U9IG0gzp,spotify:artist:5hMCIlD2CIuOBcWPHuQXKJ
Under the Red Sky,Bob Dylan,spotify:album:5aRiLRWxWoAT6rTUXbGUuI,spotify:artist:74ASZWbe4lXaubB36ztrGX
Cherry Pie,Warrant,spotify:album:5TMMmKdys49eu6QSPC9sdB,spotify:artist:7HLvzuM9p11k9lUQfSM4Rq
Dear 23,The Posies,spotify:album:1stIl7Tb4t4oJbeZp2OpYG,spotify:artist:5ZOh5D4MKLhU3GekPzNFam
Soundtrack from Twin Peaks,Angelo Badalamenti,spotify:album:27KKAHUMBKylPxvVgNoExo,spotify:artist:3Eeb1U0VJTDaFpBHV4DmHl
"Never, Neverland",Annihilator,spotify:album:68MPcAtxmP35jvEd4kHxtn,spotify:artist:0L8QRAAuWjqvTM8FpQ1gYO
Armed Audio Warfare,Meat Beat Manifesto,spotify:album:5DfulTEwFkyLAdCVztqlD2,spotify:artist:3AO9jmM1JTooPNcu9tTyZx
Mama Said Knock You Out,LL Cool J,spotify:album:4mZ2cMZM2d2PzRrTKGswpz,spotify:artist:1P8IfcNKwrkQP5xJWuhaOC
Heaven or Las Vegas,Cocteau Twins,spotify:album:5lEphbceIgaK1XxWeSrC9E,spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp
Room to Roam,The Waterboys,spotify:album:7B1bTtSUHg0MjM6xruipUS,spotify:artist:5TnuP42pw475UrjjeabtwZ
The Wall Live in Berlin,Roger Waters,spotify:album:2x0jjg2Pw98wHDixqzCeqy,spotify:artist:40DqL6Tv84cKT2pH2NMs9r
Red Moon,The Call,spotify:album:0o33YV4UNqSC48uoHT0HLR,spotify:artist:2bSugToVO8DavocRulW3Yj
Cause of Death,Obituary,spotify:album:79fVRZLnIqS3FytTLfTBT4,spotify:artist:0SbGI4sb8dAKFZnK7RFyhz
Lawn Boy,Phish,spotify:album:1WfhBVs4YXnUxDLlQswBPF,spotify:artist:5wbIWUzTPuTxTyG6ouQKqz
Nomads Indians Saints,Indigo Girls,spotify:album:1KpKdn4HLsD9OAN6GEYAIb,spotify:artist:4wM29TDTr3HI0qFY3KoSFG
The Razors Edge,AC/DC,spotify:album:4vu7F6h90Br1ZtYYaqfITy,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Some People's Lives,Bette Midler,spotify:album:7s86va7L6qq82p0y7KVBeb,spotify:artist:13y0kncDD4J9wxCyfKr10W
Rust in Peace,Megadeth,spotify:album:4e6ML9RBhDyyKTaTwbiRZv,spotify:artist:1Yox196W7bzVNZI7RBaPnf
Souls of Black,Testament,spotify:album:3CFswsRArMIduymEMdBaHi,spotify:artist:28hJdGN1Awf7u3ifk2lVkg
All Shook Down,The Replacements,spotify:album:3Hyt0J3NIW4Nh2sGWTXitb,spotify:artist:4WPY0N74T3KUja57xMQTZ3
Have You Seen Me Lately,Carly Simon,spotify:album:4yqibi1aoTWOujGDXKGLpH,spotify:artist:4FtSnMlCVxCswABUmdhwpm
Nomads Indians Saints,Indigo Girls,spotify:album:1KpKdn4HLsD9OAN6GEYAIb,spotify:artist:4wM29TDTr3HI0qFY3KoSFG
Third Eye,Redd Kross,spotify:album:6ASYFb1w2jqiJtxeSwJG65,spotify:artist:1USc9u5yL4tUaQKhGWNuvj
Without a Net,Grateful Dead,spotify:album:6HyLzcuUZALOpAGnArJB8G,spotify:artist:4TMHGUX5WI7OOm53PqSDAT
In the Blood,Londonbeat,spotify:album:2VMlyvdWmrkvQPqMIITCg3,spotify:artist:0gcMPgunYh4rX1UOdvZKBn
Passion and Warfare,Steve Vai,spotify:album:3RNwbPBSlRlPAof8HFKWYX,spotify:artist:32Jb1X3wSmmoHj2epZReZA
Better Off Dead,Sodom,spotify:album:5eqTbp8LQrn3NiCwO9vRwb,spotify:artist:6SYbLA9utoNsllunR1TnkM
No Prayer for the Dying,Iron Maiden,spotify:album:00uliTKAB5mqWzQKMYbrND,spotify:artist:6mdiAmATAx73kdxrNrnlao
Jordan: The Comeback,Prefab Sprout,spotify:album:3em3CQi7ZdbyJ6GDvwJwp6,spotify:artist:4w3QqrcmBv8dasemwBXmxf
New Inside,Tiffany,spotify:album:6JjjIH7QBynrssqyphngYi,spotify:artist:4C3uGP8vRDzxrhJxZiOjTe
This Is Our Music,Galaxie 500,spotify:album:79JBh8OZRmvaC4ORkKB7ou,spotify:artist:6guTJsgPymDUVfqDJyz5UG
Ven Conmigo,Selena,spotify:album:3tellijkXPMAj8XTfMsqKu,spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch
Enlightenment,Van Morrison,spotify:album:3LznBz5zOUG9nTPbsUFprz,spotify:artist:44NX2ffIYHr6D4n7RaZF7A
Ringo Starr and His All-Starr Band,Ringo Starr,spotify:album:0CD2nLnxSojZvIdZNzKz4e,spotify:artist:6DbJi8AcN5ANdtvJcwBSw8
Edge of the Century,Styx,spotify:album:6dLlnu5TPxD74g7w8SfnqF,spotify:artist:4salDzkGmfycRqNUbyBphh
Seasons in the Abyss,Slayer,spotify:album:49QJ9TAWNqZGbFUvadXPgT,spotify:artist:1IQ2e1buppatiN1bxUVkrk
Shooting Straight in the Dark,Mary Chapin Carpenter,spotify:album:6BZB0fThEqgxhZ0iMsZ5cq,spotify:artist:0qAmeOULjwn04k6jMMeDyr
Souls of Black,Testament,spotify:album:3CFswsRArMIduymEMdBaHi,spotify:artist:28hJdGN1Awf7u3ifk2lVkg
Nowhere,Ride,spotify:album:4fW7CblaSvdhPWmcCFgZbQ,spotify:artist:0WPY9nnBy01s5QOt4o4oQX
Brand New Dance,Emmylou Harris,spotify:album:6ZXNDIUd69eklXp3Tw1G4r,spotify:artist:5s6TJEuHTr9GR894wc6VfP
Private Times...and the Whole 9!,Al B. Sure!,spotify:album:4rIlpaZIQpsnczHOUSQ7c1,spotify:artist:1fvz0vd4P0LNMkAysF1ivk
Recycler,ZZ Top,spotify:album:0WbYC0Gc9DFh35DhzDwR1k,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN
Ghost of a Dog,Edie Brickell & New Bohemians,spotify:album:3DKuaIs6SPOZVdDmxAkz7j,spotify:artist:4awU3JRQXIYoxabdwO92AU
